object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
1857,21,H-30,15.5,19.1,18341,4125,14216,393,12953,40,830,0,957,3010,32,10,116,89.2,89.3,88.2,46.6986532904422,53.3013467095578,2022,3639.2696684756843
1858,24,A-6,400.3,406.4,10599,2578,8021,87,7430,61,443,0,381,1986,81,30,100,,,,43.7022360600057,56.2977639399943,2022,6100.420813226585
1859,25,N-260,280.1,280.7,3387,112,3275,359,2676,26,210,4,78,19,1,1,13,73,73.2,66.7,,,2022,473.7335896517052
1860,24,N-630,167.8,168.8,1699,249,1450,37,1240,10,163,0,95,130,8,0,16,,,,,,2022,976.8819776823414
1861,22,N-260,360.6,366.5,1879,269,1610,93,1458,3,56,0,167,74,0,0,28,,,,,,2022,5966.898594687262
1862,9,N-623,83.2,85.8,914,110,804,54,712,2,36,0,47,59,1,0,3,,,,,,2022,2576.4093059702955
1863,22,N-330,643.8,646.4,2068,158,1910,30,1677,14,177,12,16,30,1,0,111,,,,,,2022,2773.6363104210704
1864,12,N-340A,1048.068,1051.2,14405,405,14000,759,11761,51,1420,9,316,66,2,1,20,69.3,69.3,69,,,2022,3074.6199829725524
1865,2,N-322A,398.7,403.2,1477,58,1419,24,1106,4,276,9,30,19,2,1,6,78.4,78.7,71,,,2022,4462.067216439194
1866,16,N-320,134,134.7,6136,481,5655,55,5170,9,415,6,153,289,14,2,23,,,,,,2022,627.9335805456901
1867,6,N-432,64.7,67.3,6096,883,5213,70,4872,18,251,2,325,462,23,2,71,,,,,,2022,2493.503602760667
1868,13,N-401,172.1,174.3,6095,370,5725,59,4981,21,661,3,195,151,4,0,20,90.3,90.8,80.7,,,2022,2217.200843504023
1869,26,N-111,283.47,285,2418,366,2052,207,1648,18,177,2,61,277,2,0,26,74.5,76.3,65.9,,,2022,1522.2491650229956
1870,3,AP-7N,740.6,742.9,31142,3831,27311,190,24153,192,2776,0,1734,1893,64,0,140,,,,50,50,2022,2306.90730944706
