lat,lon,c,p_kw,wq_minutes
43.312139,-1.879528,7,150,0.0
43.078861,-2.156194,2,150,4.491356
43.078861,-2.156194,3,150,0.594789
43.078861,-2.156194,4,150,0.083708
43.078861,-2.156194,5,150,0.010967
43.078861,-2.156194,6,150,0.0013
43.078861,-2.156194,7,150,0.000139
43.316611,-1.852222,2,150,2.076077
43.316611,-1.852222,3,150,0.230717
43.316611,-1.852222,4,150,0.02507
43.316611,-1.852222,5,150,0.002461
43.316611,-1.852222,6,150,0.000216
43.316611,-1.852222,7,150,1.7e-05
43.317611,-1.844528,2,150,0.020324
43.317611,-1.844528,3,150,0.000307
43.317611,-1.844528,4,150,4e-06
43.317611,-1.844528,5,150,0.0
43.317611,-1.844528,6,150,0.0
43.317611,-1.844528,7,150,0.0
42.81125,-2.901944,2,150,3.20135
42.81125,-2.901944,3,150,0.397544
42.81125,-2.901944,4,150,0.050332
42.81125,-2.901944,5,150,0.005847
42.81125,-2.901944,6,150,0.00061
42.81125,-2.901944,7,150,5.7e-05
43.411583,-2.814667,2,150,0.063141
43.411583,-2.814667,3,150,0.001645
43.411583,-2.814667,4,150,3.7e-05
43.411583,-2.814667,5,150,1e-06
43.411583,-2.814667,6,150,0.0
43.411583,-2.814667,7,150,0.0
43.209889,-3.124889,2,150,0.433253
43.209889,-3.124889,3,150,0.027099
43.209889,-3.124889,4,150,0.00152
43.209889,-3.124889,5,150,7.5e-05
43.209889,-3.124889,6,150,3e-06
43.209889,-3.124889,7,150,0.0
43.171889,-2.618111,2,150,0.63748
43.171889,-2.618111,3,150,0.046757
43.171889,-2.618111,4,150,0.003121
43.171889,-2.618111,5,150,0.000183
43.171889,-2.618111,6,150,9e-06
43.171889,-2.618111,7,150,0.0
43.166722,-2.58525,2,150,0.166117
